has-discussion,num-framework,num-models,has-data,Has-pre-trained,num-repositories-depend-on,num-repositories-depend-on-them,num-topics,has-quickexample,has-newbutton,has-photo,num-code-line,num-contributor,followers,public_repos,Label
1,0,0,0,0,0,0,5,1,1,0,1937,60,1319,40,1
0,2,1,1,1,5,0,5,1,1,1,1811,9,132,15,1
0,1,0,0,0,7,0,58,1,0,0,4157,6,374,25,1
0,1,0,0,0,24,43,4,1,1,0,10890,8,1968,50,1
0,0,0,0,0,0,0,6,1,0,1,62319,60,1,1,1
0,3,1,1,1,47,1086,17,1,1,1,20197,28,2316,28,1
0,0,0,0,0,0,0,1,1,0,0,6798,1,728,42,1
0,0,0,1,0,6,0,4,1,0,1,3211,5,1,0,1
0,0,0,0,0,8,0,19,1,1,1,11426,2,1,0,1
0,0,0,0,0,16,0,4,1,0,1,1493,26,3046,11,1
0,1,0,0,0,0,0,3,1,0,1,463,6,1768,102,1
0,0,0,0,0,0,0,7,1,0,0,508,1,468,36,1
0,0,0,0,0,0,0,11,1,1,0,267344,90,0,103,1
0,0,0,0,0,0,0,11,1,1,1,8276,7,0,185,1
0,0,0,0,0,0,0,11,1,0,0,203,10,113,17,1
0,1,1,1,0,6,0,6,1,1,1,215530,60,0,63,1
0,1,0,1,0,5,0,0,1,0,1,130900,9,541,19,1
0,3,10,1,1,77,0,7,1,0,0,61971,1,1601,2,1
0,1,1,1,1,24,0,3,1,0,1,1429187,11,1967,15,1
0,0,0,0,0,0,0,7,0,0,0,239,4,1967,15,1
0,1,3,1,1,0,0,12,1,0,0,5228,1,503,18,1
0,1,0,1,0,0,0,0,1,0,0,22963,5,4719,28,1
0,1,1,1,0,7,0,3,1,0,1,1234,150,370,70,1
0,0,0,0,0,0,0,0,1,0,0,3600,1,3,0,1
0,0,0,1,0,85,0,17,1,1,1,188937,90,0,133,1
0,0,0,0,0,1,91,6,1,0,1,10790,5,649,12,1
0,0,0,0,0,58,382,6,1,1,1,303500,150,0,644,1
0,3,1,1,1,33,0,13,1,1,1,11773,240,0,0,1
0,0,0,0,0,0,0,11,1,1,0,744,60,2182,82,1
0,6,0,0,0,5,0,17,1,1,0,1819,9,264,90,1
0,0,0,0,0,18,0,16,1,0,1,17269,6,0,863,1
0,1,0,1,0,21,0,7,1,0,0,327913,90,0,863,1
0,1,1,1,0,531,0,0,1,0,0,321201,90,0,863,1
0,0,0,1,0,4,423,9,1,1,1,8688,90,944,40,1
0,0,0,0,0,0,0,8,1,1,0,4404,12,1028,30,1
0,1,0,1,0,35,130,20,1,1,0,64100,60,0,4,1
0,2,1,1,0,5,0,5,1,0,0,1900,3,820,28,1
0,1,6,1,1,22,0,13,1,0,1,14315,9,1798,90,1
0,0,0,0,0,0,0,17,1,1,1,89,3,2448,53,1
0,0,0,1,0,3,0,4,1,1,1,164024,90,0,7,1
0,1,1,1,1,0,0,5,1,0,1,11210,2,407,12,1
1,1,0,1,0,29,55,20,1,1,0,23204,60,0,23,1
0,0,0,0,0,0,0,8,1,0,1,1988,2,105,4,1
0,1,0,1,0,3,3707,6,1,1,1,18071,150,0,3,1
0,1,0,0,0,45,0,16,1,1,1,51664,90,0,20,1
